"Id","Year","Appendix","Taxon","Class","Order","Family","Genus","Term","Quantity","Unit","Importer","Exporter","Origin","Purpose","Source","Reporter.type","Import.permit.RandomID","Export.permit.RandomID","Origin.permit.RandomID"
"8639375851",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","5eb737ebd1","5e71f3cf7b"
"4654996051",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","c274c98079","8388bf4466"
"3225159751",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",4,"Number of specimens","FR","CH","VN","T","C","E","","c6a9967815","675c8d2642"
"2554187451",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","US","CH","VN","T","C","E","","08eb585c68","821bbd99b0"
"2825385551",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","US","CH","VN","T","C","E","","3dc340408e","675c8d2642"
"3144915751",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","US","CH","VN","T","C","E","","1105c65276","6f7c915b0d"
"2739090251",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","US","CH","VN","T","C","E","","9b0bf5c39f","675c8d2642"
"1923842751",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","BH","CH","VN","T","C","E","","50fff4594d","57853389de"
"5541701151",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","FR","CH","VN","T","C","E","","f9196e4549","dd93439669"
"8945030551",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",14,"Number of specimens","FR","CH","VN","T","C","E","","5ee58f3813","09ebdab408"
